Format Version,1.22,Take Name,Calibration_diabolo_green_2020-06-18,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,21 Dec 1969 01:58:15 +0900,Total Frames in Take,223,Total Exported Frames,223,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green
,,"1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
141,1.175000,0.022432,0.904748,0.055373,-0.421736,-0.007914,0.045969,0.042991
142,1.183333,0.022324,0.904760,0.055321,-0.421724,-0.007910,0.045967,0.042989
143,1.191667,0.022449,0.904740,0.055579,-0.421726,-0.007909,0.045967,0.042988
144,1.200000,0.022446,0.904718,0.055665,-0.421761,-0.007910,0.045963,0.042990
145,1.208333,0.022348,0.904735,0.055395,-0.421766,-0.007913,0.045961,0.042989
146,1.216667,0.022361,0.904737,0.055411,-0.421759,-0.007914,0.045960,0.042989
147,1.225000,0.022311,0.904743,0.055447,-0.421745,-0.007916,0.045962,0.042988
148,1.233333,0.022432,0.904753,0.055527,-0.421706,-0.007914,0.045964,0.042988
149,1.241667,0.022452,0.904763,0.055491,-0.421689,-0.007913,0.045968,0.042989
150,1.250000,0.022455,0.904767,0.055324,-0.421701,-0.007911,0.045970,0.042989
151,1.258333,0.022536,0.904754,0.055349,-0.421721,-0.007911,0.045970,0.042988
152,1.266667,0.022476,0.904748,0.055419,-0.421729,-0.007912,0.045970,0.042989
153,1.275000,0.022449,0.904745,0.055442,-0.421732,-0.007915,0.045967,0.042988
154,1.283333,0.022441,0.904766,0.055219,-0.421717,-0.007915,0.045965,0.042987
155,1.291667,0.022428,0.904759,0.055084,-0.421752,-0.007915,0.045964,0.042987
156,1.300000,0.022388,0.904748,0.055392,-0.421737,-0.007911,0.045963,0.042991
157,1.308333,0.022446,0.904735,0.055563,-0.421739,-0.007909,0.045961,0.042991
158,1.316667,0.022428,0.904742,0.055410,-0.421746,-0.007908,0.045966,0.042992
159,1.325000,0.022465,0.904746,0.055517,-0.421719,-0.007912,0.045971,0.042990
160,1.333333,0.022364,0.904775,0.055348,-0.421685,-0.007916,0.045970,0.042986
161,1.341667,0.022400,0.904761,0.055404,-0.421706,-0.007918,0.045974,0.042987
162,1.350000,0.022507,0.904745,0.055456,-0.421728,-0.007916,0.045968,0.042986
163,1.358333,0.022463,0.904763,0.055481,-0.421688,-0.007913,0.045966,0.042988
164,1.366667,0.022559,0.904732,0.055695,-0.421723,-0.007911,0.045967,0.042992
165,1.375000,0.022416,0.904739,0.055590,-0.421727,-0.007909,0.045963,0.042988
166,1.383333,0.022433,0.904740,0.055528,-0.421734,-0.007911,0.045967,0.042986
167,1.391667,0.022448,0.904741,0.055408,-0.421746,-0.007911,0.045963,0.042986
168,1.400000,0.022501,0.904734,0.055429,-0.421756,-0.007914,0.045962,0.042988
169,1.408333,0.022435,0.904736,0.055477,-0.421748,-0.007913,0.045955,0.042990
170,1.416667,0.022438,0.904749,0.055388,-0.421732,-0.007913,0.045959,0.042991
171,1.425000,0.022322,0.904750,0.055350,-0.421741,-0.007912,0.045967,0.042992
172,1.433333,0.022296,0.904760,0.055370,-0.421719,-0.007915,0.045975,0.042991
173,1.441667,0.022378,0.904769,0.055421,-0.421689,-0.007916,0.045974,0.042990
174,1.450000,0.022391,0.904776,0.055204,-0.421700,-0.007918,0.045972,0.042988
175,1.458333,0.022453,0.904744,0.055472,-0.421731,-0.007919,0.045976,0.042992
176,1.466667,0.022447,0.904750,0.055488,-0.421716,-0.007916,0.045967,0.042992
177,1.475000,0.022414,0.904757,0.055351,-0.421721,-0.007910,0.045963,0.042992
178,1.483333,0.022450,0.904746,0.055315,-0.421748,-0.007908,0.045959,0.042989
179,1.491667,0.022391,0.904766,0.055215,-0.421722,-0.007909,0.045960,0.042987
