,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left:Marker1,stick_left:Marker1,stick_left:Marker1,stick_right:Marker1,stick_right:Marker1,stick_right:Marker1,stick_left:Marker2,stick_left:Marker2,stick_left:Marker2,stick_right:Marker2,stick_right:Marker2,stick_right:Marker2,stick_left:Marker3,stick_left:Marker3,stick_left:Marker3,stick_left:Marker4,stick_left:Marker4,stick_left:Marker4,stick_right:Marker4,stick_right:Marker4,stick_right:Marker4,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","C35D0","C35D0","C35D0","C3640","C3640","C3640","C35F0","C35F0","C35F0","C3700","C3700","C3700","C36A0","C36A0","C36A0","C3680","C3680","C3680","C35B0","C35B0","C35B0","C3650","C3650","C3650","C3670","C3670","C3670","C36D0","C36D0","C36D0","C36E0","C36E0","C36E0","C3620","C3620","C3620","C3660","C3660","C3660","C36F0","C36F0","C36F0","C3710","C3710","C3710"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
30,0.250000,0.677744,0.702675,0.136711,0.167989,0.002081,-0.092603,0.033770,0.018363,-0.081105,0.069973,,,,-0.053853,-0.091088,0.038593,,,,-0.003449,-0.099087,0.014184,0.047261,-0.099132,0.012329,,,,0.562535,-0.457988,0.055139,0.514129,-0.438423,0.009754,,,,,,,,,,,,,,,,,,
31,0.258333,0.677761,0.702644,0.136728,0.168040,0.002070,-0.092593,0.033793,0.018346,-0.081094,0.069997,,,,-0.053863,-0.091079,0.038611,,,,-0.003463,-0.099066,0.014213,0.047259,-0.099134,0.012354,,,,0.562536,-0.457983,0.055135,0.514117,-0.438403,0.009764,,,,,,,,,,,,,,,,,,
32,0.266667,0.677849,0.702579,0.136704,0.167974,0.002058,-0.092576,0.033818,0.018346,-0.081085,0.070015,,,,-0.053871,-0.091055,0.038637,,,,-0.003486,-0.099038,0.014245,0.047239,-0.099124,0.012376,,,,0.562532,-0.457997,0.055133,0.514137,-0.438427,0.009754,,,,,,,,,,,,,,,,,,
33,0.275000,0.677959,0.702536,0.136560,0.167830,0.002058,-0.092575,0.033827,0.018360,-0.081089,0.070015,,,,-0.053868,-0.091045,0.038672,,,,-0.003500,-0.099029,0.014259,0.047237,-0.099138,0.012363,,,,0.562544,-0.458013,0.055120,0.514122,-0.438417,0.009751,,,,,,,,,,,,,,,,,,
34,0.283333,0.678079,0.702468,0.136314,0.167828,0.002054,-0.092572,0.033841,0.018373,-0.081083,0.070018,,,,-0.053877,-0.091013,0.038709,,,,-0.003502,-0.099042,0.014274,0.047221,-0.099149,0.012366,,,,0.562550,-0.458016,0.055120,0.514128,-0.438421,0.009757,,,,,,,,,,,,,,,,,,
35,0.291667,0.678235,0.702384,0.136137,0.167693,0.002045,-0.092559,0.033865,0.018388,-0.081079,0.070034,,,,-0.053893,-0.090975,0.038759,,,,-0.003520,-0.099036,0.014300,0.047203,-0.099145,0.012371,,,,0.562540,-0.457997,0.055120,0.514131,-0.438432,0.009751,,,,,,,,,,,,,,,,,,
36,0.300000,0.678306,0.702384,0.135940,0.167569,0.002039,-0.092555,0.033878,0.018398,-0.081074,0.070036,,,,-0.053893,-0.090969,0.038796,,,,-0.003540,-0.099024,0.014320,0.047188,-0.099154,0.012363,,,,0.562543,-0.457994,0.055124,0.514125,-0.438413,0.009761,,,,,,,,,,,,,,,,,,
37,0.308333,0.678434,0.702299,0.135822,0.167500,0.002040,-0.092562,0.033880,0.018409,-0.081088,0.070031,,,,-0.053895,-0.090954,0.038817,,,,-0.003541,-0.099036,0.014320,0.047185,-0.099173,0.012351,,,,0.562553,-0.458011,0.055117,0.514121,-0.438416,0.009759,,,,,,,,,,,,,,,,,,
38,0.316667,0.678402,0.702336,0.135697,0.167577,0.002038,-0.092571,0.033884,0.018408,-0.081081,0.070038,,,,-0.053894,-0.090970,0.038822,,,,-0.003548,-0.099041,0.014327,0.047185,-0.099195,0.012350,,,,0.562559,-0.458022,0.055118,0.514149,-0.438445,0.009750,,,,,,,,,,,,,,,,,,
39,0.325000,0.678414,0.702319,0.135727,0.167573,0.002029,-0.092563,0.033899,0.018397,-0.081078,0.070048,,,,-0.053902,-0.090959,0.038834,,,,-0.003556,-0.099031,0.014348,0.047173,-0.099184,0.012369,,,,0.562556,-0.458028,0.055119,0.514128,-0.438421,0.009757,,,,,,,,,,,,,,,,,,
