,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:tracking_marker_0,tracker:tracking_marker_0,tracker:tracking_marker_0
,,"803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","C6B60","C6B60","C6B60","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,0.350000,0.956281,0.038859,-0.010707,-0.289658,-0.005969,0.007298,0.047274,-0.002556,-0.032932,0.028913,-0.006509,0.014619,0.014601,-0.008842,0.040211,0.098304,,,,,,
43,0.358333,0.956244,0.038860,-0.010690,-0.289783,-0.005966,0.007286,0.047276,-0.002553,-0.032939,0.028906,-0.006506,0.014617,0.014604,-0.008840,0.040185,0.098314,,,,,,
44,0.366667,0.956207,0.038887,-0.010673,-0.289899,-0.005969,0.007275,0.047280,-0.002554,-0.032944,0.028904,-0.006508,0.014613,0.014604,-0.008846,0.040159,0.098328,,,,,,
45,0.375000,0.956180,0.038916,-0.010607,-0.289989,-0.005972,0.007269,0.047284,-0.002554,-0.032944,0.028901,-0.006506,0.014612,0.014607,-0.008857,0.040144,0.098339,,,,,,
46,0.383333,0.956186,0.038936,-0.010531,-0.289969,-0.005977,0.007271,0.047285,-0.002556,-0.032943,0.028905,-0.006506,0.014612,0.014604,-0.008870,0.040148,0.098340,,,,,,
47,0.391667,0.956206,0.038965,-0.010512,-0.289899,-0.005978,0.007277,0.047290,-0.002554,-0.032935,0.028918,-0.006505,0.014611,0.014603,-0.008875,0.040160,0.098343,,,,,,
48,0.400000,0.956247,0.039015,-0.010498,-0.289757,-0.005982,0.007291,0.047292,-0.002554,-0.032922,0.028933,-0.006507,0.014613,0.014600,-0.008885,0.040189,0.098337,,,,,,
49,0.408333,0.956295,0.039036,-0.010373,-0.289601,-0.005985,0.007306,0.047295,-0.002554,-0.032911,0.028951,-0.006501,0.014617,0.014599,-0.008901,0.040219,0.098328,,,,,,
50,0.416667,0.956333,0.039058,-0.010387,-0.289473,-0.005988,0.007319,0.047295,-0.002555,-0.032904,0.028962,-0.006505,0.014620,0.014595,-0.008905,0.040246,0.098323,,,,,,
51,0.425000,0.956344,0.039051,-0.010360,-0.289437,-0.005987,0.007323,0.047296,-0.002554,-0.032899,0.028964,-0.006501,0.014621,0.014598,-0.008906,0.040255,0.098320,,,,,,
