Format Version,1.22,Take Name,Take 2020-07-16 stick_left_downward_calib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 09:19:35 +0900,Total Frames in Take,3068,Total Exported Frames,2372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
165,1.375000,-0.638094,-0.455345,0.457231,-0.420044,-0.002716,0.007553,0.104277
166,1.383333,-0.638101,-0.455334,0.457236,-0.420040,-0.002721,0.007550,0.104277
167,1.391667,-0.638082,-0.455373,0.457199,-0.420065,-0.002712,0.007559,0.104280
168,1.400000,-0.638111,-0.455346,0.457189,-0.420063,-0.002701,0.007569,0.104282
169,1.408333,-0.638249,-0.455148,0.457338,-0.419906,-0.002698,0.007567,0.104282
170,1.416667,-0.638238,-0.455087,0.457470,-0.419845,-0.002674,0.007582,0.104281
171,1.425000,-0.640470,-0.454469,0.455973,-0.418742,-0.002575,0.007613,0.104391
172,1.433333,-0.640502,-0.454534,0.455881,-0.418723,-0.002537,0.007634,0.104399
173,1.441667,-0.643046,-0.454254,0.452683,-0.418598,-0.002599,0.007557,0.104482
174,1.450000,-0.642975,-0.454418,0.452532,-0.418692,-0.002564,0.007572,0.104488
175,1.458333,-0.642667,-0.454670,0.452612,-0.418804,-0.002520,0.007597,0.104484
176,1.466667,-0.642605,-0.454655,0.452801,-0.418711,-0.002498,0.007592,0.104483
177,1.475000,-0.642360,-0.454969,0.452680,-0.418875,-0.002443,0.007622,0.104487
178,1.483333,-0.642249,-0.454912,0.453059,-0.418699,-0.002421,0.007610,0.104478
179,1.491667,-0.642256,-0.454870,0.453242,-0.418535,-0.002401,0.007596,0.104478
180,1.500000,-0.642064,-0.455028,0.453367,-0.418524,-0.002361,0.007596,0.104474
181,1.508333,-0.641912,-0.455291,0.453271,-0.418573,-0.002312,0.007608,0.104477
182,1.516667,-0.641512,-0.455746,0.453164,-0.418808,-0.002236,0.007640,0.104482
183,1.525000,-0.641447,-0.455739,0.453416,-0.418642,-0.002194,0.007638,0.104481
184,1.533333,-0.641379,-0.455812,0.453531,-0.418542,-0.002146,0.007639,0.104484
185,1.541667,-0.641193,-0.455970,0.453691,-0.418482,-0.002098,0.007646,0.104481
186,1.550000,-0.641090,-0.456142,0.453740,-0.418400,-0.002050,0.007638,0.104481
187,1.558333,-0.641114,-0.456107,0.453959,-0.418162,-0.002028,0.007613,0.104477
188,1.566667,-0.641145,-0.456115,0.454127,-0.417925,-0.002007,0.007581,0.104473
189,1.575000,-0.641165,-0.456399,0.453838,-0.417898,-0.001964,0.007561,0.104479
190,1.583333,-0.641243,-0.456346,0.454097,-0.417554,-0.001954,0.007504,0.104473
191,1.591667,-0.639437,-0.456765,0.455713,-0.418104,-0.002027,0.007413,0.104367
192,1.600000,-0.641456,-0.456427,0.454228,-0.416997,-0.001938,0.007385,0.104465
193,1.608333,-0.639631,-0.457171,0.455320,-0.417793,-0.001973,0.007319,0.104373
194,1.616667,-0.639682,-0.457266,0.455304,-0.417628,-0.001959,0.007270,0.104369
